,name,code,2016 매출,2017 매출,2018 매출,2019 매출,2020 매출,매출 증가 Check,2016 영업이익,2017 영업이익,2018 영업이익,2019 영업이익,2020 영업이익,영업이익 Check,영업이익 증가 Check,2016 ROE,2017 ROE,2018 ROE,2019 ROE,2020 ROE,ROE 평균 check,2016 배당금,2017 배당금,2018 배당금,2019 배당금,2020 배당금,배당금증가 Check,현금배당수익률,배당 checker,Unnamed: 1_level_1 매출,Unnamed: 1_level_1 영업이익,Unnamed: 1_level_1 ROE,Unnamed: 1_level_1 배당금,Unnamed: 2_level_1 매출,Unnamed: 3_level_1 매출,Unnamed: 2_level_1 영업이익,Unnamed: 3_level_1 영업이익,Unnamed: 2_level_1 ROE,Unnamed: 3_level_1 ROE,error code,2021 매출,2021 영업이익,2021 ROE,2021 배당금,Unnamed: 2_level_1 배당금,Unnamed: 4_level_1 매출,Unnamed: 5_level_1 매출,Unnamed: 4_level_1 영업이익,Unnamed: 5_level_1 영업이익,Unnamed: 4_level_1 ROE,Unnamed: 5_level_1 ROE,2015 매출,2015 영업이익,2015 ROE,2015 배당금
1754,이니텍,053350,2315.0,2437.0,2625.0,2880.0,2920.0,True,236.0,216.0,89.0,58.0,30.0,True,False,8.57,7.85,-8.12,-7.31,1.27,False,0.0,0.0,20.0,20.0,20.0,True,0.43,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,이엠코리아,095190,1026.0,1046.0,1075.0,800.0,768.0,False,-36.0,-3.0,-13.0,-115.0,-32.0,False,False,-11.79,-2.81,-2.9,-19.8,-3.04,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,인지디스플레,037330,3898.0,4788.0,5144.0,5578.0,7645.0,True,106.0,29.0,221.0,238.0,346.0,True,False,3.79,1.42,6.61,2.7,9.36,False,50.0,75.0,75.0,75.0,100.0,True,2.91,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,인콘,083640,361.0,440.0,410.0,308.0,505.0,CHECK,-7.0,13.0,-20.0,-24.0,20.0,False,False,-1.66,2.08,-2.43,-36.6,-5.64,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,일지테크,019540,3432.0,2611.0,2285.0,1911.0,1917.0,False,266.0,9.0,15.0,-146.0,-92.0,False,False,16.07,6.48,-2.75,-3.54,-11.16,False,150.0,70.0,25.0,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,제넥신,095700,114.0,285.0,129.0,113.0,185.0,CHECK,-309.0,-269.0,-381.0,-445.0,-392.0,False,False,-24.18,-15.84,-15.68,0.31,,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,제이에스티나,026040,1703.0,1399.0,1274.0,950.0,600.0,False,79.0,0.0,-9.0,-280.0,-137.0,False,False,4.21,-4.79,0.34,-57.29,-36.2,False,100.0,50.0,50.0,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,제이엠아이,033050,1117.0,1177.0,1248.0,701.0,564.0,False,39.0,3.0,-74.0,-49.0,-17.0,False,False,-2.56,1.1,-8.56,-20.42,-20.63,False,0.0,0.0,0.0,0.0,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,제일전기공업,199820,1064.0,1222.0,1283.0,1461.0,1513.0,True,166.0,183.0,146.0,169.0,191.0,True,False,50.91,37.01,26.89,24.76,17.27,True,594.0,365.0,0.0,125.0,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,지엔원에너지,270520,,265.0,294.0,358.0,304.0,False,,18.0,16.0,32.0,11.0,True,False,,,13.43,17.41,-14.89,False,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,진로발효,018120,868.0,885.0,869.0,884.0,1019.0,CHECK,214.0,200.0,165.0,165.0,155.0,True,False,,18.23,14.75,15.81,14.36,True,1210.0,1100.0,1200.0,1350.0,1350.0,False,4.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,체리부로,066360,3144.0,3613.0,2938.0,3015.0,3031.0,False,256.0,246.0,-5.0,-145.0,-257.0,False,False,31.24,24.63,-8.83,-21.23,-60.62,False,0.0,86.0,43.0,0.0,0.0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,카카오게임즈,293490,1013.0,2013.0,4208.0,3910.0,4955.0,CHECK,101.0,386.0,472.0,350.0,665.0,True,False,,47.39,6.2,2.64,12.12,True,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
